機構名稱,行政區,地址
葛鎂診所,63000050,臺北市中正區館前路34號9樓
永康身心診所,63000050,臺北市中正區金山南路1段127號1樓
台北新顏診所,63000050,臺北市中正區許昌街42號(6樓)
醫療財團法人徐元智先生醫藥基金會遠東聯合診所,63000050,臺北市中正區永綏街8至14號
醫療財團法人好心肝基金會好心肝診所,63000050,臺北市中正區公園路30號2樓之2、8樓之1、8樓之2
蔡瑞芳眼科診所,63000050,臺北市中正區羅斯福路一段73號(實際營業地址一層)、75號2樓
小千醫師診所,63000050,臺北市中正區忠孝東路二段134巷16號
蘭心診所,63000050,臺北市中正區南昌路二段11號、15號
祈約美醫皮膚科診所,63000050,臺北市中正區濟南路2段17號4樓
惠森復健科診所,63000050,臺北市中正區師大路172號、172號之1號
皇妍時尚整形外科診所,63000050,臺北市中正區忠孝西路一段6號8樓
東妍診所,63000050,臺北市中正區信義路二段161巷8號2樓、8號2樓之1、12號(實際營業地址1、2樓)
宜康診所,63000050,臺北市中正區新生南路一段148號
藝群台北診所,63000050,臺北市中正區忠孝西路一段102號4樓
君綺美形診所,63000050,臺北市中正區忠孝西路1段6號13樓
美嘉美整形外科診所,63000050,臺北市中正區信義路二段251號5樓
日明耀診所,63000050,臺北市中正區重慶南路一段66之1號2樓之1
立光診所,63000050,臺北市中正區博愛路76號2樓
和眾綜合診所,63000050,臺北市中正區忠孝西路一段6號
家禾診所,63000050,臺北市中正區三元街217號1樓、2樓
虹約復健專科診所,63000050,臺北市中正區信義路二段91號2樓之2
百麗診所,63000050,臺北市中正區林森南路10號6樓之2
波菲特醫美診所,63000050,臺北市中正區羅斯福路二段116號4樓之1
靚白天使時尚美學診所,63000050,臺北市中正區重慶南路一段13號9樓
身新醫學診所,63000050,臺北市中正區連雲街87號5樓
李明儒耳鼻喉科診所,63000050,臺北市中正區中華路二段341號
古亭光澤診所,63000050,臺北市中正區羅斯福路2段116號、116號2樓、116號2樓之1
目急國際診所,63000050,臺北市中正區武昌街一段77號6樓之17
元泰診所,63000050,臺北市中正區羅斯福路3段2號2樓
懷寧復健科診所,63000050,臺北市中正區懷寧街110號1樓、7樓
美好健康診所,63000050,臺北市中正區連雲街83號(實際營業地址:1樓、2樓、3樓)
大心古亭診所,63000050,臺北市中正區南昌路二段206號5樓之1
博士診所,63000050,臺北市中正區南陽街8號地下1樓
衡觀診所,63000050,臺北市中正區衡陽路20號6樓
鈞安診所,63000050,臺北市中正區中華路2段431號1樓
光澤晶漾診所,63000050,臺北市中正區館前路18號6樓
台北諾貝爾眼科診所,63000050,臺北市中正區公園路13號5樓
星和診所,63000050,臺北市中正區館前路2號6樓之1
捷思身心醫學診所,63000050,臺北市中正區忠孝東路二段100號5樓之7
臻健康診所,63000050,臺北市中正區中華路2段165之1號
站前愛爾麗診所,63000050,臺北市中正區忠孝西路1段6號8樓
佳飛雅醫美診所,63000050,臺北市中正區辛亥路1段49號(實際營業地址1層及2層)
永愉診所,63000050,臺北市中正區忠孝東路1段54號3樓
站前聖宜診所,63000050,臺北市中正區許昌街42號(7樓)
久瑞復健科診所,63000050,臺北市中正區仁愛路2段21號、21之1號、23號
超全能診所,63000050,臺北市中正區忠孝東路2段136號1樓
好甘心診所,63000050,臺北市中正區公園路30號9樓之1、9樓之2、11樓之1、11樓之2、11樓之3
古亭適康復健科診所,63000050,臺北市中正區南昌路2段196號(1樓)、200號地下1樓、200號1樓、200號2樓
美渥館診所,63000050,臺北市中正區博愛路224巷5號6樓
蒂恩美學診所,63000050,臺北市中正區新生南路1段128號4樓
銘人診所,63000050,臺北市中正區博愛路9號3樓
