機構名稱,縣市區名,地址,科別
弘宇診所,臺北市松山區,臺北市松山區民權東路3段160巷2之6號(1樓),"家庭醫學科,"
宥全診所,臺北市松山區,臺北市松山區民生東路5段216號1樓,"家庭醫學科,"
宸曜診所,臺北市松山區,臺北市松山區敦化北路155巷8號1、2樓,"家庭醫學科,"
蘋果樹醫美診所,臺北市松山區,臺北市松山區南京東路三段309號3樓,"家庭醫學科,"
鈞賀診所,臺北市松山區,臺北市松山區富錦街462號,"家庭醫學科,"
康活診所,臺北市松山區,臺北市松山區復興北路333號5樓,"家庭醫學科,"
大家好診所,臺北市松山區,臺北市松山區民生東路四段８０巷１１弄２號１樓,"家庭醫學科,"
臺北市立聯合醫院附設松山門診部,臺北市松山區,臺北市松山區八德路4段694號(1樓),"家庭醫學科,"
長庚醫療財團法人台北長庚紀念醫院,臺北市松山區,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區,臺北市松山區健康路１３１號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,臨床病理科,急診醫學科,牙醫一般科,"
博仁綜合醫院,臺北市松山區,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,職業醫學科,西醫一般科,牙醫一般科,"
基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區,"臺北市松山區八德路二段424,426號","家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,急診醫學科,整形外科,職業醫學科,牙醫一般科,"
江建中診所,臺北市松山區,臺北市松山區八德路4段285號1樓,"家庭醫學科,"
朱家庭醫學科診所,臺北市松山區,臺北市松山區八德路3段12巷57弄39之1號1樓,"家庭醫學科,"
中山醫療社團法人中山醫院,臺北市大安區,臺北市大安區仁愛路四段112巷11號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,復健科,麻醉科,放射診斷科,放射腫瘤科,整形外科,牙醫一般科,"
宏恩醫療財團法人宏恩綜合醫院,臺北市大安區,臺北市大安區仁愛路四段71巷1號、仁 愛路四段61號、仁愛路四段91巷16號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,復健科,麻醉科,放射診斷科,職業醫學科,牙醫一般科,"
國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市大安區,臺北市大安區基隆路 3段155巷57號,"家庭醫學科,內科,外科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,牙醫一般科,"
中心診所醫療財團法人中心綜合醫院,臺北市大安區,臺北市大安區忠孝東路四段７７號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,職業醫學科,牙醫一般科,"
杏保醫網信誠診所,臺北市大安區,臺北市大安區信義路4段197號1樓、199巷2號1樓、199巷2號2樓、199巷2號2樓之1,"家庭醫學科,內科,耳鼻喉科,復健科,"
博安家庭醫學科診所,臺北市大安區,臺北市大安區麗水街3號,"家庭醫學科,"
瑞御診所,臺北市大安區,臺北市大安區敦化南路一段259號12樓,"家庭醫學科,"
安民家庭醫學科診所,臺北市大安區,臺北市大安區大安路1段65號2樓之1,"家庭醫學科,"
大中診所,臺北市大安區,臺北市大安區信義路4段265巷2號5樓,"家庭醫學科,"
基督復臨安息日會醫療財團法人臺安診所,臺北市大安區,臺北市大安區敦化南路二段76號11樓、11樓之1、11樓之2、11樓之3,"家庭醫學科,內科,放射診斷科,"
林繼國診所,臺北市大安區,臺北市大安區忠孝東路三段２１７巷１弄１２號１樓,"家庭醫學科,兒科,"
國泰醫療財團法人國泰綜合醫院,臺北市大安區,臺北市大安區仁愛路四段266巷6號，280號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,"
春天診所,臺北市大安區,臺北市大安區信義路四段184號3樓,"家庭醫學科,"
林青穀家庭醫學科診所,臺北市大安區,臺北市大安區大安路1段2之1號,"家庭醫學科,內科,精神科,"
誼安診所,臺北市大安區,臺北市大安區仁愛路四段二五號三A,"家庭醫學科,"
尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區,臺北市大安區建國南路2段276號1樓、2樓、4樓、4樓之1、B1、B1之1、278號1樓,"家庭醫學科,內科,外科,兒科,神經科,泌尿科,眼科,皮膚科,精神科,復健科,"
張渝醫師診所,臺北市大安區,臺北市大安區基隆路二段２７０號１Ｆ,"家庭醫學科,內科,"
黃禎祥診所,臺北市大安區,臺北市大安區師大路７１號,"家庭醫學科,兒科,"
陳惠章婦產科家庭醫學科診所,臺北市大安區,臺北市大安區羅斯福路三段二六一號二樓,"家庭醫學科,婦產科,"
田嘉程診所,臺北市大安區,臺北市大安區延吉街239之1號,"家庭醫學科,"
小林醫師診所,臺北市大安區,臺北市大安區敦化南路1段225號地下二層之19,"家庭醫學科,"
松德診所,臺北市大安區,臺北市大安區四維路170巷16號,"家庭醫學科,"
鴻馨診所,臺北市大安區,臺北市大安區大安路2段86之1號,"家庭醫學科,"
夏娃診所,臺北市大安區,臺北市大安區師大路68巷2號2樓,"家庭醫學科,"
樂活診所,臺北市大安區,臺北市大安區師大路12號(實際營業地址：1樓、3樓),"家庭醫學科,神經科,復健科,麻醉科,"
行一診所,臺北市大安區,臺北市大安區新生南路3段19巷8號3樓之1,"家庭醫學科,"
健華診所,臺北市大安區,臺北市大安區和平東路2段299號(實際營業地址:1樓),"家庭醫學科,兒科,"
生生優動忠孝新生診所,臺北市大安區,臺北市大安區濟南路3段9號1樓,"家庭醫學科,"
仁愛好日子診所,臺北市大安區,臺北市大安區仁愛路3段5巷3之2號,"家庭醫學科,"
安澐診所,臺北市大安區,臺北市大安區復興南路2段150號(1樓),"家庭醫學科,"
逸林診所,臺北市大安區,臺北市大安區信義路4段109之2號1樓,"家庭醫學科,"
窈窕診所,臺北市大安區,臺北市大安區復興南路2段6號4樓,"家庭醫學科,"
于賓診所,臺北市大安區,臺北市大安區忠孝東路3段305號7樓之4、5、6,"家庭醫學科,皮膚科,"
尖端診所,臺北市大安區,臺北市大安區敦化南路二段一六八號十一樓,"家庭醫學科,內科,"
淨妍醫美診所,臺北市大安區,臺北市大安區忠孝東路4段212號4樓之1,"家庭醫學科,"
建成診所,臺北市大同區,臺北市大同區長安西路82號,"家庭醫學科,"
聖心婦家醫診所,臺北市大同區,臺北市大同區保安街1之1號(1樓),"家庭醫學科,婦產科,"
圓山診所,臺北市大同區,臺北市大同區酒泉街131號(1樓),"家庭醫學科,兒科,"
羅志弘診所,臺北市大同區,臺北市大同區重慶北路三段１１５號,"家庭醫學科,"
慶吉診所,臺北市大同區,臺北市大同區重慶北路三段209號,"家庭醫學科,"
澤康診所,臺北市大同區,臺北市大同區重慶北路三段71號,"家庭醫學科,"
建順診所,臺北市大同區,臺北市大同區甘州街51號,"家庭醫學科,"
永欣診所,臺北市大同區,臺北市大同區南京西路30號3樓之3,"家庭醫學科,"
鈞生診所,臺北市大同區,臺北市大同區甘州街２８號,"家庭醫學科,"
鼎廬診所,臺北市中山區,臺北市中山區中山北路二段１３７巷３７號１樓,"家庭醫學科,"
禾康診所,臺北市中山區,臺北市中山區林森北路486號,"家庭醫學科,"
