name,lat,lng,address,spec
弘宇診所,25.0619656,121.5479179,臺北市松山區民權東路3段160巷2之6號(1樓),"家庭醫學科,"

宥全診所,25.058766,121.565008,臺北市松山區民生東路5段216號1樓,"家庭醫學科,"

宸曜診所,25.054444,121.5504691,臺北市松山區敦化北路155巷8號1、2樓,"家庭醫學科,"

蘋果樹醫美診所,25.0520187,121.5469781,臺北市松山區南京東路三段309號3樓,"家庭醫學科,"

鈞賀診所,25.0607013,121.5624036,臺北市松山區富錦街462號,"家庭醫學科,"

康活診所,25.0598244,121.5444186,臺北市松山區復興北路333號5樓,"家庭醫學科,"

大家好診所,25.0565565,121.5531009,臺北市松山區民生東路四段８０巷１１弄２號１樓,"家庭醫學科,"

臺北市立聯合醫院附設松山門診部,25.0496778,121.5773136,臺北市松山區八德路4段694號(1樓),"家庭醫學科,"

長庚醫療財團法人台北長庚紀念醫院,25.0561976,121.550775,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"

三軍總醫院松山分院附設民眾診療服務處,25.054348,121.5576626,臺北市松山區健康路１３１號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,臨床病理科,急診醫學科,牙醫一般科,"

博仁綜合醫院,25.0499703,121.5575603,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,急診醫學科,職業醫學科,西醫一般科,牙醫一般科,"

