name,lat,lng,address
葛鎂診所,25.0446556,121.5148555,臺北市中正區館前路34號9樓

永康身心診所,25.0375943,121.5283148,臺北市中正區金山南路1段127號1樓

台北新顏診所,25.0452932,121.5154552,臺北市中正區許昌街42號(6樓)

醫療財團法人徐元智先生醫藥基金會遠東聯合診所,25.042991,121.511026,臺北市中正區永綏街8至14號

醫療財團法人好心肝基金會好心肝診所,25.0444922,121.5168594,臺北市中正區公園路30號2樓之2、8樓之1、8樓之2

蔡瑞芳眼科診所,25.0314662,121.5197163,臺北市中正區羅斯福路一段73號(實際營業地址一層)、75號2樓

小千醫師診所,25.0411256,121.5316292,臺北市中正區忠孝東路二段134巷16號

蘭心診所,25.0282874,121.5195775,臺北市中正區南昌路二段11號、15號

祈約美醫皮膚科診所,25.0409434,121.5265405,臺北市中正區濟南路2段17號4樓

惠森復健科診所,25.0212035,121.5255369,臺北市中正區師大路172號、172號之1號

皇妍時尚整形外科診所,25.0457721,121.5181116,臺北市中正區忠孝西路一段6號8樓

東妍診所,25.034477,121.528818,臺北市中正區信義路二段161巷8號2樓、8號2樓之1、12號(實際營業地址1、2樓)

宜康診所,25.035265,121.5322764,臺北市中正區新生南路一段148號

藝群台北診所,25.0471797,121.5125535,臺北市中正區忠孝西路一段102號4樓

君綺美形診所,25.0421407,121.5198716,臺北市中正區忠孝西路1段6號13樓

美嘉美整形外科診所,25.033844,121.531369,臺北市中正區信義路二段251號5樓

日明耀診所,25.0436593,121.5130099,臺北市中正區重慶南路一段66之1號2樓之1

立光診所,25.0446759,121.511328,臺北市中正區博愛路76號2樓

和眾綜合診所,25.0457882,121.5179649,臺北市中正區忠孝西路一段6號

家禾診所,25.0276749,121.5133825,臺北市中正區三元街217號1樓、2樓

虹約復健專科診所,25.0344053,121.5269823,臺北市中正區信義路二段91號2樓之2

百麗診所,25.0429136,121.5226073,臺北市中正區林森南路10號6樓之2

波菲特醫美診所,25.0263416,121.5226985,臺北市中正區羅斯福路二段116號4樓之1

靚白天使時尚美學診所,25.0460953,121.5133872,臺北市中正區重慶南路一段13號9樓

身新醫學診所,25.034063,121.530158,臺北市中正區連雲街87號5樓

李明儒耳鼻喉科診所,25.0272421,121.5068863,臺北市中正區中華路二段341號

古亭光澤診所,25.0263416,121.5226985,臺北市中正區羅斯福路2段116號、116號2樓、116號2樓之1

目急國際診所,25.0442566,121.5095569,臺北市中正區武昌街一段77號6樓之17

元泰診所,25.0233442,121.5247924,臺北市中正區羅斯福路3段2號2樓

懷寧復健科診所,25.0417613,121.5139108,臺北市中正區懷寧街110號1樓、7樓

美好健康診所,25.034192,121.530168,臺北市中正區連雲街83號(實際營業地址:1樓、2樓、3樓)

大心古亭診所,25.0240379,121.52432,臺北市中正區南昌路二段206號5樓之1

博士診所,25.0452434,121.5159572,臺北市中正區南陽街8號地下1樓

衡觀診所,25.0420781,121.5130691,臺北市中正區衡陽路20號6樓

鈞安診所,25.0253098,121.5090648,臺北市中正區中華路2段431號1樓

光澤晶漾診所,25.045466,121.5148084,臺北市中正區館前路18號6樓

台北諾貝爾眼科診所,25.0456119,121.5174536,臺北市中正區公園路13號5樓

星和診所,25.0464364,121.5148336,臺北市中正區館前路2號6樓之1

