hospital,division,address,Link
仁愛分部,"COVID-19確診者開立抗病毒藥物門診, COVID-19確診者開立抗病毒藥物門診, COVID-19確診者開立抗病毒藥物門診, COVID-19確診者開立抗病毒藥物門診, COVID-19確診者開立抗病毒藥物門診, 一般內科, 一般內科, 內分泌及新陳代謝科, 內分泌科青少年親善門診, 化療門診, 心臟血管內科, 皮膚科, 血液腫瘤科, 放射線腫瘤科, 消化內科, 神經內科, 胸腔內科, 復健科, 猴痘疫苗門診, 腎臟內科, 感染科, 過敏免疫風濕科, 預立醫療照護諮商, 興岩復健治療中心_復健科, 營養諮詢, 一般外科, 一般外科(直腸外、消化外), 心臟血管外科, 甲狀腺外科, 耳鼻喉科, 乳房門診, 泌尿科, 泌尿科青少年親善門診, 神經外科, 胸腔外科, 骨科, 眼科, 眼科青少年親善門診, 整形外科, 婦產科, 婦產科乳房超音波門診, 婦產科青少年親善門診",臺北市大安區仁愛路四段10號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=F
中興分部,"腫瘤醫療中心, 兒童發展評估療育中心, 一般外科暨大腸直腸外科, 心臟血管外科, 整形外科, 神經外科, 泌尿科, 骨科, 耳鼻喉科, 眼科, 內分泌及新陳代謝科, 胸腔內科, 心臟血管內科, 消化內科, 腎臟內科, 感染科, 神經內科, 皮膚科, 復健科, 牙科",臺北市大同區鄭州路145號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=G
和平婦幼院區-和平分部,"消化內科, 心臟血管內科, 神經內科, 胸腔內科, 腎臟內科, 新陳代謝科, 皮膚科, 復健科, 感染科, 過敏免疫風濕科, 一般外科, 神經外科, 骨科, 耳鼻喉科, 泌尿科, 麻醉科, 整形外科, 眼科, 乳房外科, 疼痛科, 婦產科, 小兒科, 中醫科, 牙科, 藥劑科, 急診醫學科, 精神科, 營養科, 家庭醫學科, 護理科
",臺北市中正區中華路二段33號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=H
和平婦幼院區-婦幼分部,"消化內科, 心臟血管內科, 神經內科, 胸腔內科, 腎臟內科, 新陳代謝科, 皮膚科, 復健科, 感染科, 過敏免疫風濕科, 一般外科, 神經外科, 骨科, 耳鼻喉科, 泌尿科, 麻醉科, 整形外科, 眼科, 乳房外科, 疼痛科, 婦產科, 小兒科, 中醫科, 牙科, 藥劑科, 急診醫學科, 精神科, 營養科, 家庭醫學科, 護理科
",台北市中正區福州街12號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=J
臺北市立聯合醫院松德院區,"一般精神科, 成癮防治科, 一般內科, 神經內科, 牙科, 兒童青少年精神科, 社區精神科
",臺北市信義區松德路309號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=K
林森中醫昆明院區-林森分部,"內科, 骨科, 婦科, 眼科, 耳鼻喉科, 皮膚科, 家醫科, 中醫科
",臺北市中山區林森北路530號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=X
林森中醫昆明院區-昆明分部,"愛滋病防治, 結核病防治, 毒品危害防治, 一般內科, 消化內科, 外科, 婦幼科, 牙科",臺北市萬華區昆明街100號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=W
陽明院區,"腎臟內科, 胸腔內科, 新陳代謝科, 消化內科, 心臟血管科, 血液腫瘤科, 感染科, 神經內科, 復健科, 皮膚科, 小兒科, 過敏免疫風濕科, 精神科, 中醫科, 家庭醫學科, 一般外科, 骨科, 神經外科, 整形外科, 眼科, 泌尿科, 耳鼻喉科, 麻醉科, 急診科, 婦產科, 牙科, 解剖病理科",臺北市士林區雨聲街105號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=M
忠孝院區,"內分泌及新陳代謝科, 心臟血管內科, 皮膚科, 血液腫瘤科, 血液腫瘤科(中西整合), 乳房影像特別門診, 放射腫瘤科, 消化內科, 神經內科, 胸腔內科, 復健科, 猴痘疫苗門診, 腎臟內科, 感染科, 過敏免疫風濕科, 預立醫療照護諮商, 糖尿病腎臟保健整合門診, 營養諮詢, 一般外科(消化外、直腸外科), 心臟血管外科, 耳鼻喉科, 乳房外科, 泌尿科, 神經外科, 胸腔外科, 骨科, 眼科, 整形外科, 小兒科, 兒童保健暨疫苗接種, 婦產科, XBB.1.5莫德納疫苗特診, 門診體檢, 家庭醫學科, 職業醫學科, 心理健康諮詢特別門診, 青少年心理健康門診, 精神科, 牙科, 中醫科",臺北市南港區同德路87號,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=Q
大同門診部,"一般內科, 內分泌及新陳代謝科, 心臟血管內科, 消化內科, 神經內科, 復健科, 泌尿科, 骨科, 一般兒科, 兒童保健暨疫苗接種, 家庭醫學科, 社區心理健康諮詢門診
",臺北市大同區昌吉街52號1樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=V
中山門診部,"一般內科, 內分泌及新陳代謝科, 消化內科, 神經內科, 兒科門診, 兒童保健暨疫苗接種, BC肝篩檢(45-79歲終身1次免費), 成人健檢(40-64歲3年1次免費), 家庭醫學科, 莫德納XBB疫苗門診, 社區心理健康諮詢門診, 莫德納XBB疫苗門診",臺北市中山區松江路367號1樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=P
信義門診部,"一般內科, 神經內科, 復健科, 泌尿科, 骨科, 眼科, 子宮頸抹片檢查, 小兒科, 兒童保健暨疫苗接種, 婦產科, 家庭醫學科, 社區心理健康諮詢門診, 精神科",臺北市信義區信義路五段15號1樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=E
松山門診部,"家庭醫學科, 社區心理健康諮詢門診",臺北市松山區八德路四段694號1樓（臺北市松山區行政中心大樓）,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=A
大安門診部,"小兒科, 家庭醫學科, 社區心理健康諮詢門診",臺北市大安區辛亥路三段15號1樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=4
政大門診部,"眼科, 婦產科, 成人健檢, 家庭醫學科, 社區心理健康諮詢門診, 精神科",臺北市文山區指南路二段117號1樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=D
士林門診部,"一般內科, 泌尿科, 小兒科, 兒童公費流感疫苗門診, 兒童保健暨預防注射, 肺炎鏈球菌公費疫苗門診, 莫德納XBB.1.5(6個月至11歲), 肺炎鏈球菌公費疫苗門診, 家庭醫學科, 莫德納XBB.1.5(12歲以上), 社區心理健康諮詢門診, 莫德納XBB.1.5(12歲以上), 莫德納XBB.1.5(6個月至11歲)",臺北市士林區中正路439號1樓（臺北市士林區行政中心大樓）,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=L
北投門診部,"皮膚科, 復健科, 眼科, 兒童保健暨預防注射, 肺炎鏈球菌公費疫苗門診, 家醫科, 社區心理健康諮詢門診, 精神科",臺北市北投區新市街30號5樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=T
中正門診部,"(滿6個月至11歲)XBB.1.5莫德納, 小兒科, 兒童保健暨疫苗接種, (滿12歲以上)XBB.1.5莫德納疫苗, 成人預防注射, 家庭醫學科, 社區心理健康諮詢門診, (滿12歲以上)XBB.1.5莫德納疫苗, (滿6個月至11歲)XBB.1.5莫德納",臺北市中正區牯嶺街24號1樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=5
內湖門診部,"一般內科, 兒童預防注射, 小兒COVID-19疫苗特別門診, 成人COVID-19疫苗特別門診, 成人健檢, 肺炎鏈球菌疫苗特別門診, 家醫科, 駕照體檢, 社區心理健康諮詢門診, 小兒COVID-19疫苗特別門診, 成人COVID-19疫苗特別門診",臺北市內湖區民權東路六段99號1樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=N
南港門診部,"一般內科, 子宮頸抹片檢查, 預防保健科, XBB.1.5莫德納, 成人健檢, 家庭醫學科, 駕照自費體檢, 社區心理健康諮詢門診, XBB.1.5莫德納",臺北市南港區南港路一段360號1樓（臺北市南港區行政中心大樓）,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=R
臺北市政府醫務室門診部,"一般內科, 一般外科, 耳鼻喉科, 家庭醫學科, 精神科",臺北市信義區市府路1號北區10樓（臺北市市政大樓）,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=C
社區心理衛生中心,"社區心理健康諮詢門診, 青少年心理治療門診
",臺北市中正區金山南路一段5號1樓,https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=K1
萬華門診部,"(滿6個月至11歲)XBB.1.5莫德納, 小兒科, 兒童保健暨預防注射, (滿12歲以上)XBB.1.5莫德納疫苗, 公費肺炎鏈球菌特診, 成人預防注射, 老人健檢, 家庭醫學科, 社區心理健康諮詢門診, 青少年心理治療, (滿12歲以上)XBB.1.5莫德納疫苗","No. 152號, Dongyuan St, Wanhua District, Taipei City, 108",https://webreg.tpech.gov.tw/RegOnline1_1.aspx?ZCode=U
