department,division,symptom,hospital,,,
一般牙醫,牙科醫療部,蛀牙、牙齒疼痛、牙齦腫痛、牙齦出血、化膿、口臭、口腔感染、口腔黏膜病變、口乾症、口角炎、糖尿病等全身疾病患者之口腔併發症、顎骨病變及口腔癌之篩檢、口腔疼痛症群、牙齒形狀顏色異常、牙間縫隙太大、法瑯質異常等牙齒整形 ,[仁愛分部],,,
牙科約診,牙科醫療部,"膺復牙科：固定及活動假牙（牙冠、牙橋及全口假牙）、全口咬合重建
牙髓及牙周病科：
牙髓病科（牙痛、齒髓炎、根尖膿腫、根尖囊腫、根管治療後牙齒美白）
牙周病症（口臭、牙齦腫痛、牙齦流血、牙齒動搖），牙齦過度增生、牙齦退縮、牙周手術、植牙手術、牙床保存缺損修補、牙周美容手術、牙冠增長
兒童牙科及齒顎矯正：
兒童牙科（齲齒的預防與治療、乳牙根管治療、兒童行為管理、混合齒列矯正、重症及殘障兒童牙科處理、醫院兒童牙科）
齒顎矯正科（齒列不正、咬合不正、骨性咬合異常、上下顎前突、錯咬、開咬、先天性唇顎裂合併咬合異常）
口腔顎面外科：
一般拔牙，智齒拔除，拔牙後併發症，口腔感染，頭頸部感染，口腔潰瘍，口腔腫瘤，顎骨病變，咬合不正，顎骨骨折，顳顎關節障礙，張口困難
特殊治療：
植牙、根管顯微治療、牙齒美白",[仁愛分部],,,
婦產科,婦幼醫療部,"一般婦科
一般產科
婦科腫瘤（子宮肌瘤、卵巢瘤、子宮內膜異位瘤）、婦科癌症（子宮頸癌、子宮內膜癌、卵巢癌、外陰癌、陰道癌）
內分泌及不孕症、子宮肌瘤、子宮內膜異位症、多囊性卵巢疾病 、不孕症、人工授精、試管嬰兒
婦女泌尿（泌尿道感染、頻尿、解尿困難、尿失禁）、子宮陰道脫垂、骨盆腔重建
更年期疾患(停經、骨質疏鬆)
青少女發育
子宮頸癌病毒篩檢、疫苗接種
高危險妊娠(妊娠糖尿病、妊娠高血壓、心臟病...等)
胎兒異常（胎兒生長遲滯、羊水過少、胎兒異常）、習慣性流產、遺傳諮詢、高層次超音波檢查
陰道鏡（抹片異常 、人類乳突瘤病毒感染）、子宮鏡（黏膜下肌瘤、內膜瘜肉、內膜粘連、內膜增生、子宮異常出血）
婦女性功能障礙
乳房疾病篩檢
婦女抗衰老","[仁愛分部, 中興分部, 和平婦幼院區-和平分部, 和平婦幼院區-婦幼分部, 陽明院區, 忠孝院區, 信義門診部, 政大門診部, 士林門診部]",,,
小兒科,婦幼醫療部,"小兒血液腫瘤(血友病、地中海型貧血/海洋性貧血、異常出血、白血病、腫瘤、血液疾病)
小兒重症加護(中毒及誤食、頭部重症、呼吸道重症、心臟重症、腹部重症、外傷重症、外科重症手術前後)
小兒風濕過敏免疫(過敏性鼻炎、過敏性皮膚炎、氣喘、異位性皮膚炎、類風濕性關節炎、全身性紅斑性狼瘡、血管炎)
小兒腎臟(排尿困難、血尿、蛋白尿、水腎、水腫、泌尿道感染)
新生兒科(早產兒、新生兒疾病)
小兒心臟(心臟雜音、心臟疾病、心律不整、心導管治療)
小兒神經(腦膜炎、癲癇、抽搐、肌肉神經病變、發展遲緩、頭痛、眩暈)
小兒胸腔(長期咳嗽、呼吸困難/雜音、胸壁畸形、慢性肺部疾病、長期呼吸器依賴、氣切)
小兒感染(不明原因發燒、中耳炎、鼻竇炎、肺炎、感冒、咽喉炎)
小兒腸胃(肝膽疾病、便秘、腹瀉、嘔吐、腸胃出血、腹痛、黃胆、營養問題)
小兒遺傳暨內分泌(遺傳諮詢、先天異常、內分泌疾病)","[和平婦幼院區-和平分部, 和平婦幼院區-婦幼分部, 陽明院區, 忠孝院區, 大同門診部, 信義門診部, 士林門診部, 中正門診部, 北投門診部, 政大門診部, 信義門診部, 南港門診部, 萬華門診部]",,,
家庭醫學科,社區醫療部,老人醫學、社區醫學、預防醫學、健康檢查、戒菸門診 ,"[和平婦幼院區-和平分部, 和平婦幼院區-婦幼分部, 陽明院區, 忠孝院區, 大同門診部, 信義門診部, 士林門診部, 中正門診部, 北投門診部, 政大門診部, 信義門診部, 南港門診部, 萬華門診部]",,,
社區醫學科,社區醫療部,高血壓、心臟病診療、運動醫學、骨科、外科、傷害防治、戒菸 ,[仁愛分部],,,
職業醫學科,社區醫療部,職場預防醫學、職場健檢 ,[仁愛分部],,,
一般外科,外科系醫療部 ,一般外傷、重症及多重性外傷性治療、肝癌手術治療 、腹部腫瘤、乳房超音波檢查篩檢、乳房腫瘤診斷、乳癌手術與治療、甲狀腺肥大、表皮及軟部組織腫瘤、疝氣及腹腔內器官須手術（胃腸出血及腫瘤、腸阻塞、盲腸炎、腹膜炎、肝膽腫瘤、膽道結石、脾臟及胰臟疾病、腹腔內腫瘤)、痔瘡,"[仁愛分部, 中興分部, 和平婦幼院區-和平分部, 和平婦幼院區-婦幼分部, 陽明院區, 忠孝院區]",,,
消化外科,外科系醫療部 ,痔瘡、解血便、排便習慣改變、便秘、腹瀉、消化道外科手術治療(肝、膽、胰、胃、腸等)、 大腸直腸癌手術治療、肛門手術、乙狀結腸鏡檢（檢查腸發炎、息肉、腫瘤等）、肛門鏡檢（檢查肛門廔管、發炎、息肉、腫瘤等）,[仁愛分部],,,
胸腔外科 ,外科系醫療部 ,"肺腫瘤、食道腫瘤、胸腺瘤、胸腔鏡、氣胸血胸之手術治療、胃酸逆流食道炎、胃酸逆流氣管腫瘤、各種胸骨、肋骨骨折及胸廓畸型之矯正手術、支氣管鏡、各種胸腔鏡手術（包括手汗症）,食道、氣管狹窄之手術治療、重症肌無力之手術治療、橫膈疝氣之手術治療","[仁愛分部, 和平婦幼院區-和平分部, 和平婦幼院區-婦幼分部, 忠孝院區]",,,
